genomes,primary_dbxref,displayname,uniquename,stx1_subtype,stx2_subtype,isolation_host,strain,serotype,isolation_date,isolation_source,syndrome,isolation_location
public_2607657,genbank: AIGT00000000.1,DEC10E,DEC10E,undefined,undefined,Bos taurus (cow),DEC10E,O26:H11,1989-01-01,undefined,undefined,"South Dakota, USA"
public_2656690,genbank: AMUL00000000.1,ARS4.2123,ARS4.2123,undefined,undefined,Environmental source,ARS4.2123,O157:H16,2005-01-01,Water,undefined,United States
public_2791657,genbank: JHEX00000000.1,PMK-5,PMK-5,1a,undefined,Homo sapiens (human),PMK-5,O103:H2,1989-01-01,undefined,undefined,France
public_2766525,genbank: AYOF00000000.1,ATCC BAA-2196,ATCC BAA-2196,1a,2a,undefined,ATCC:BAA-2196,O26:H11,undefined,undefined,undefined,undefined
public_2864161,genbank: JNQY00000000.1,2-427-07_S3_C3,2-427-07_S3_C3,undefined,undefined,Homo sapiens (human),2-427-07_S3_C3,undefined,2009-04-23,Stool,undefined,Tanzania
public_2684991,genbank: ANXA00000000.1,KTE202,KTE202,undefined,undefined,Homo sapiens (human),KTE202,undefined,2010-01-01,undefined,undefined,undefined
public_2614288,genbank: AJWP00000000.1,KD2,KD2,undefined,undefined,Canis lupus familiaris (dog),KD2,undefined,2004-01-01,Colon,undefined,United States
public_2834317,genbank: JHOA00000000.1,O45:H2 Str. 01-3147,O45:H2 Str. 01-3147,1a,2a,undefined,01-3147,O45:H2,undefined,undefined,undefined,United States
public_2639393,genbank: AKMJ00000000.1,EC4439,EC4439,undefined,undefined,Homo sapiens (human),EC4439,O157:H7,2006-01-01,undefined,undefined,United States
public_2830320,genbank: JHNG00000000.1,O157:H7 Str. 06-4039,O157:H7 Str. 06-4039,1a,2a,undefined,06-4039,O157:H7,undefined,undefined,undefined,United States
public_2786412,genbank: CP003301.1,O104:H4 Str. 2009EL-2071,O104:H4 Str. 2009EL-2071,undefined,2a,Homo sapiens (human),2009EL-2071,O104:H4,2009-01-01,undefined,undefined,undefined
public_2697606,genbank: AOQU00000000.1,TOP2522-1,TOP2522-1,undefined,undefined,Homo sapiens (human),TOP2522-1,undefined,2005-04-01,Stool,undefined,"Seattle, WA, USA"
public_2565195,genbank: ADVA00000000.1,O157:H7 Str. EC4191,O157:H7 Str. EC4191,undefined,undefined,Environmental source,EC4191,O157:H7,2006-01-01,Vegetable-based food,undefined,"Illinois, USA"
public_2786416,genbank: CP003289.1,O104:H4 Str. 2011C-3493,O104:H4 Str. 2011C-3493,undefined,2a,Homo sapiens (human),2011C-3493,O104:H4,2011-01-01,undefined,undefined,undefined
public_2875888,genbank: JORG00000000.1,6-319-05_S3_C2,6-319-05_S3_C2,undefined,undefined,Homo sapiens (human),6-319-05_S3_C2,undefined,2009-04-15,Stool,undefined,Tanzania
public_2591613,genbank: AIAV00000000.1,C353_09,C353_09,undefined,undefined,Homo sapiens (human),C353_09,undefined,undefined,Stool,undefined,Denmark
public_2739566,genbank: AQFJ00000000.1,BCE007_MS-11,BCE007_MS-11,undefined,undefined,Homo sapiens (human),BCE007_MS-11,undefined,2003-01-01,Stool,Asymptomatic,Bangladesh
public_2723576,genbank: AQAV00000000.1,P0304816.12,P0304816.12,undefined,undefined,Homo sapiens (human),P0304816.12,undefined,undefined,undefined,undefined,Bangladesh
public_2727070,genbank: AQBR00000000.1,P0305260.8,P0305260.8,undefined,undefined,Homo sapiens (human),P0305260.8,undefined,undefined,Stool,undefined,Bangladesh
public_2815202,genbank: JHKH00000000.1,O157:H7 Str. 2011EL-2114,O157:H7 Str. 2011EL-2114,undefined,2c,undefined,2011EL-2114,O157:H7,undefined,undefined,undefined,United States
public_2681494,genbank: ANTQ00000000.1,KTE214,KTE214,undefined,undefined,Homo sapiens (human),KTE214,undefined,2010-01-01,undefined,undefined,undefined
public_2735767,genbank: AQDU00000000.1,2785200,2785200,undefined,undefined,Homo sapiens (human),2785200,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2811817,genbank: JHJO00000000.1,O157:H7 Str. F6751,O157:H7 Str. F6751,1a,2a,undefined,F6751,O157:H7,undefined,undefined,undefined,United States
public_2684201,genbank: ANWE00000000.1,KTE115,KTE115,undefined,undefined,Homo sapiens (human),KTE115,undefined,2010-01-01,undefined,undefined,Denmark
public_2562562,genbank: ADUX00000000.1,O157:H7 Str. EC4192,O157:H7 Str. EC4192,undefined,undefined,Homo sapiens (human),EC4192,O157:H7,2006-01-01,Vegetable-based food,undefined,"California, USA"
public_2814822,genbank: JHKF00000000.1,O157:H7 Str. 2011EL-2287,O157:H7 Str. 2011EL-2287,undefined,undefined,undefined,2011EL-2287,O157:H7,undefined,undefined,undefined,United States
public_2820704,genbank: JHLL00000000.1,O103:H2 Str. 2011C-3750,O103:H2 Str. 2011C-3750,1a,2a,undefined,2011C-3750,O103:H2,undefined,undefined,undefined,United States
public_2746022,genbank: ATNY00000000.1,MC21,MC21,undefined,undefined,Homo sapiens (human),MC21,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2866855,genbank: JNRL00000000.1,2-474-04_S3_C3,2-474-04_S3_C3,undefined,undefined,Homo sapiens (human),2-474-04_S3_C3,undefined,2009-04-24,Stool,undefined,Tanzania
public_2717121,genbank: APZM00000000.1,BCE006_MS-23,BCE006_MS-23,undefined,undefined,Homo sapiens (human),BCE006_MS-23,undefined,2004-01-01,Stool,undefined,Bangladesh
public_2845913,genbank: JMGS00000000.1,1-182-04_S1_C2,1-182-04_S1_C2,undefined,undefined,Homo sapiens (human),1-182-04_S1_C2,undefined,2009-01-13,Stool,undefined,Tanzania
public_2568773,genbank: AETX00000000.1,O157:H7 Str. G5101,O157:H7 Str. G5101,undefined,undefined,undefined,G5101,O157:H7,1995-01-01,undefined,undefined,undefined
public_2840400,genbank: JJMB00000000.1,2-011-08_S1_C2,2-011-08_S1_C2,undefined,undefined,Homo sapiens (human),2-011-08_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2681783,genbank: ANTW00000000.1,KTE233,KTE233,undefined,undefined,Homo sapiens (human),KTE233,undefined,2010-01-01,undefined,undefined,undefined
public_2685262,genbank: ANXI00000000.1,KTE223,KTE223,undefined,undefined,Homo sapiens (human),KTE223,undefined,2010-01-01,undefined,undefined,undefined
public_2612605,genbank: AJVV00000000.1,O111:H8 Str. CVM9574,O111:H8 Str. CVM9574,1a,2a,Homo sapiens (human),CVM9574,O111:H8,1993-01-01,undefined,undefined,undefined
public_2667307,genbank: AMVI00000000.1,FRIK523,FRIK523,1a,2a,Homo sapiens (human),FRIK523,O157:H7,1994-01-01,undefined,undefined,United States
public_2856773,genbank: JNPD00000000.1,2-156-04_S1_C2,2-156-04_S1_C2,undefined,undefined,Homo sapiens (human),2-156-04_S1_C2,undefined,2009-01-23,Stool,undefined,Tanzania
public_2649291,genbank: AMTV00000000.1,FRIK1999,FRIK1999,1a,2c,Bos taurus (cow),FRIK1999,O157:H7,1991-01-01,undefined,undefined,United States
public_2647611,genbank: AMTQ00000000.1,PA7,PA7,1a,undefined,Homo sapiens (human),PA7,O157:H7,2007-01-01,undefined,undefined,United States
public_2739391,genbank: AQFF00000000.1,2720900,2720900,undefined,undefined,Homo sapiens (human),2720900,undefined,2007-01-01,Stool,Diarrhea,Bangladesh
public_2871182,genbank: JONA00000000.1,2-460-02_S4_C1,2-460-02_S4_C1,undefined,undefined,Homo sapiens (human),2-460-02_S4_C1,undefined,2009-07-15,Stool,undefined,Tanzania
public_2846026,genbank: JMGT00000000.1,2-005-03_S3_C2,2-005-03_S3_C2,undefined,undefined,Homo sapiens (human),2-005-03_S3_C2,undefined,2009-04-23,Stool,undefined,Tanzania
public_2846756,genbank: JMJB00000000.1,UCD_JA23_pb,UCD_JA23_pb,undefined,undefined,Homo sapiens (human),UCD_JA23_pb,undefined,2013-01-01,Blood,undefined,"Davis, CA, USA"
public_2846752,genbank: JMJA00000000.1,UCD_JA17_pb,UCD_JA17_pb,undefined,undefined,Homo sapiens (human),UCD_JA17_pb,undefined,2013-01-01,Blood,undefined,"Davis, CA, USA"
public_2717945,genbank: APZQ00000000.1,P0299483.1,P0299483.1,undefined,undefined,Homo sapiens (human),P0299483.1,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2730419,genbank: AQCN00000000.1,MP021552.11,MP021552.11,undefined,undefined,Homo sapiens (human),MP021552.11,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2808175,genbank: JHIN00000000.1,O157:H7 Str. K4405,O157:H7 Str. K4405,undefined,undefined,undefined,K4405,O157:H7,undefined,undefined,undefined,United States
public_2835262,genbank: JICB00000000.1,S5274,S5274,undefined,undefined,Homo sapiens (human),S5274,undefined,undefined,Stool,undefined,Kenya
public_2857559,genbank: JNPJ00000000.1,2-156-04_S4_C1,2-156-04_S4_C1,undefined,undefined,Homo sapiens (human),2-156-04_S4_C1,undefined,2009-07-15,Stool,undefined,Tanzania
public_2688171,genbank: AOEH00000000.1,ATCC 700728,ATCC 700728,undefined,undefined,undefined,ATCC:700728,O157:H7,undefined,undefined,undefined,undefined
public_2684420,genbank: ANWL00000000.1,KTE144,KTE144,undefined,undefined,Homo sapiens (human),KTE144,undefined,2010-01-01,undefined,undefined,Denmark
public_2800560,genbank: JHGT00000000.1,O121:H19 Str. 2009C-4050,O121:H19 Str. 2009C-4050,undefined,2a,undefined,2009C-4050,O121:H19,undefined,undefined,undefined,United States
public_2895155,genbank: JQFH00000000.1,K1 (2895155),K1 (2895155),undefined,undefined,undefined,943,undefined,2007-01-01,Enteral feeding tube,undefined,"Nottingham, Nottingham, UK"
public_2879039,genbank: JOSB00000000.1,8-415-05_S3_C1,8-415-05_S3_C1,undefined,undefined,Homo sapiens (human),8-415-05_S3_C1,undefined,2009-04-30,Stool,undefined,Tanzania
public_2550104,genbank: AAMK00000000.2,101-1,101-1,undefined,undefined,undefined,101-1,undefined,undefined,Stool,Diarrhea,undefined
public_2626029,genbank: AKLG00000000.1,PA14,PA14,1a,2a,Homo sapiens (human),PA14,O157:H7,2007-01-01,undefined,undefined,United States
public_2691190,genbank: AOQD00000000.1,TOP382-2,TOP382-2,undefined,undefined,Homo sapiens (human),TOP382-2,undefined,2003-04-15,Stool,undefined,"Seattle, WA, USA"
public_2867524,genbank: JNRP00000000.1,3-020-07_S1_C2,3-020-07_S1_C2,undefined,undefined,Homo sapiens (human),3-020-07_S1_C2,undefined,2009-01-16,Stool,undefined,Tanzania
public_2808399,genbank: JHIP00000000.1,O157:H7 Str. K2854,O157:H7 Str. K2854,undefined,undefined,undefined,K2854,O157:H7,undefined,undefined,undefined,United States
public_2691330,genbank: AOQE00000000.1,TOP382-3,TOP382-3,undefined,undefined,Homo sapiens (human),TOP382-3,undefined,2003-04-15,Stool,undefined,"Seattle, WA, USA"
public_2559663,genbank: ADUB00000000.1,MS 175-1,MS 175-1,undefined,undefined,Homo sapiens (human),MS 175-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2629910,genbank: AKLO00000000.1,PA33,PA33,1a,2a,Homo sapiens (human),PA33,O157:H7,2008-01-01,undefined,undefined,United States
public_2738570,genbank: AQEO00000000.1,P0302308.1,P0302308.1,undefined,undefined,Homo sapiens (human),P0302308.1,undefined,undefined,Stool,undefined,Bangladesh
public_2709980,genbank: APYE00000000.1,P0299438.5,P0299438.5,undefined,undefined,Homo sapiens (human),P0299438.5,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2689830,genbank: AOET00000000.1,3.4880,3.4880,1a,2c,Bos taurus (cow),3.488,O157:H7,2003-01-01,undefined,undefined,United States
public_2734466,genbank: AQDL00000000.1,2860050,2860050,undefined,undefined,Homo sapiens (human),2860050,undefined,2008-01-01,Stool,undefined,Bangladesh
public_2875256,genbank: JORC00000000.1,6-175-07_S4_C2,6-175-07_S4_C2,undefined,undefined,Homo sapiens (human),6-175-07_S4_C2,undefined,2009-07-07,Stool,undefined,Tanzania
public_2721911,genbank: AQAO00000000.1,P0304777.4,P0304777.4,undefined,undefined,Homo sapiens (human),P0304777.4,undefined,undefined,Stool,undefined,Bangladesh
public_2873624,genbank: JOQP00000000.1,5-172-05_S4_C1,5-172-05_S4_C1,undefined,undefined,Homo sapiens (human),5-172-05_S4_C1,undefined,2009-07-14,Stool,undefined,Tanzania
public_2853491,genbank: JNNF00000000.1,2-052-05_S3_C1,2-052-05_S3_C1,undefined,undefined,Homo sapiens (human),2-052-05_S3_C1,undefined,2009-04-23,Stool,undefined,Tanzania
public_2872209,genbank: JOQC00000000.1,3-475-03_S1_C2,3-475-03_S1_C2,undefined,undefined,Homo sapiens (human),3-475-03_S1_C2,undefined,2009-01-16,Stool,undefined,Tanzania
public_2688304,genbank: AOEI00000000.1,PA11,PA11,undefined,2a,Homo sapiens (human),PA11,O157:H7,2007-01-01,undefined,undefined,United States
public_2551525,genbank: ABHW00000000.1,O157:H7 Str. EC508,O157:H7 Str. EC508,undefined,2a,undefined,EC508,O157:H7,undefined,undefined,undefined,undefined
public_2746694,genbank: ATOA00000000.1,AB43739056-isolate1,AB43739056-isolate1,undefined,undefined,Homo sapiens (human),AB43739056-isolate1,undefined,undefined,Stool,Bacteremia,"Missouri, USA"
public_2720624,genbank: AQAF00000000.1,P0302293.9,P0302293.9,undefined,undefined,Homo sapiens (human),P0302293.9,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2826446,genbank: JHMN00000000.1,O26:H11 Str. 2010C-4834,O26:H11 Str. 2010C-4834,1a,undefined,undefined,2010C-4834,O26:H11,undefined,undefined,undefined,United States
public_2691469,genbank: AOQF00000000.1,TOP291,TOP291,undefined,undefined,Homo sapiens (human),TOP291,undefined,2003-04-22,Urine,undefined,"Seattle, WA, USA"
public_2860433,genbank: JNQA00000000.1,2-210-07_S3_C3,2-210-07_S3_C3,undefined,undefined,Homo sapiens (human),2-210-07_S3_C3,undefined,2009-04-23,Stool,undefined,Tanzania
public_2624425,genbank: AKLD00000000.1,PA5,PA5,1a,2a,Homo sapiens (human),PA5,O157:H7,2007-01-01,undefined,undefined,United States
public_2836815,genbank: JJLI00000000.1,1-176-05_S4_C3,1-176-05_S4_C3,undefined,undefined,Homo sapiens (human),1-176-05_S4_C3,undefined,2009-07-03,Stool,undefined,Tanzania
public_2739621,genbank: AQFK00000000.1,BCE001_MS16,BCE001_MS16,undefined,undefined,Homo sapiens (human),BCE001_MS16,undefined,2003-01-01,Stool,Asymptomatic,Bangladesh
public_2861673,genbank: JNQH00000000.1,2-210-07_S3_C1,2-210-07_S3_C1,undefined,undefined,Homo sapiens (human),2-210-07_S3_C1,undefined,2009-04-23,Stool,undefined,Tanzania
public_2819657,genbank: JHLF00000000.1,O157:H7 Str. 2011EL-2093,O157:H7 Str. 2011EL-2093,undefined,2a,undefined,2011EL-2093,O157:H7,undefined,undefined,undefined,United States
public_2672732,genbank: ANLN00000000.1,93.0055,93.0055,1a,undefined,Environmental source,93.0055,O157:H7,1993-01-01,Meat-based food,undefined,United States
public_2871975,genbank: JONE00000000.1,5-366-08_S1_C3,5-366-08_S1_C3,undefined,undefined,Homo sapiens (human),5-366-08_S1_C3,undefined,2009-01-22,Stool,undefined,Tanzania
public_2571210,genbank: AFAC00000000.2,3.3884,3.3884,1a,multiple,Bos taurus (cow),3.3884,undefined,undefined,undefined,undefined,undefined
public_2729925,genbank: AQCL00000000.1,MP021552.7,MP021552.7,undefined,undefined,Homo sapiens (human),MP021552.7,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2644517,genbank: AMTG00000000.1,8.0566,8.0566,undefined,undefined,Environmental source,8.0566,O157:H7,2008-01-01,Meat-based food,undefined,United States
public_2609480,genbank: AJMB00000000.1,NCCP15647,NCCP15647,1a,2a,Homo sapiens (human),NCCP15647,undefined,2003-06-01,Stool,undefined,South Korea
public_2777850,genbank: CCPR00000000.1,104 Str. E. coli,104 Str. E. coli,undefined,2a,Homo sapiens (human),E. coli,104,2006-08-28,Stool,undefined,Norway
public_2825346,genbank: JHMH00000000.1,O153:H2 Str. 2010C-5034,O153:H2 Str. 2010C-5034,1a,undefined,undefined,2010C-5034,O153:H2,undefined,undefined,undefined,United States
public_2683984,genbank: ANVX00000000.1,KTE63,KTE63,undefined,undefined,Homo sapiens (human),KTE63,undefined,2010-01-01,undefined,undefined,Denmark
public_2632950,genbank: AKLV00000000.1,TW10246,TW10246,undefined,2a,Homo sapiens (human),TW10246,O157:H7,2002-01-01,undefined,undefined,United States
public_2762833,genbank: AXUA00000000.1,910096-2,910096-2,undefined,undefined,Homo sapiens (human),910096-2,undefined,undefined,undefined,undefined,undefined
public_2607797,genbank: AIGV00000000.1,DEC11A,DEC11A,undefined,undefined,Homo sapiens (human),DEC11A,O128a:H2,1975-01-01,undefined,undefined,"Montana, USA"
public_2580260,genbank: AGTJ00000000.1,O121:H19 Str. MT#2,O121:H19 Str. MT#2,undefined,2a,Homo sapiens (human),MT#2,O121:H19,1998-01-01,undefined,undefined,"Montana, USA"
public_2798997,genbank: JHGL00000000.1,O121:H19 Str. 2009C-4750,O121:H19 Str. 2009C-4750,undefined,2a,undefined,2009C-4750,O121:H19,undefined,undefined,undefined,United States
public_2872531,genbank: JOQE00000000.1,3-475-03_S3_C2,3-475-03_S3_C2,undefined,undefined,Homo sapiens (human),3-475-03_S3_C2,undefined,2009-04-16,Stool,undefined,Tanzania
public_2880760,genbank: JOSL00000000.1,2-474-04_S4_C1,2-474-04_S4_C1,undefined,undefined,Homo sapiens (human),2-474-04_S4_C1,undefined,2009-07-16,Stool,undefined,Tanzania
public_2791009,genbank: JHDO00000000.1,1-110-08_S1_C3,1-110-08_S1_C3,undefined,undefined,Homo sapiens (human),1-110-08_S1_C3,undefined,2009-01-13,Stool,undefined,Tanzania
public_2689237,genbank: AOEP00000000.1,7.1982,7.1982,undefined,2c,Bos taurus (cow),7.1982,O157:H7,2007-01-01,undefined,undefined,United States
public_2682073,genbank: ANUA00000000.1,KTE237,KTE237,undefined,undefined,Homo sapiens (human),KTE237,undefined,2010-01-01,undefined,undefined,undefined
public_2574516,genbank: AFVD00000000.1,O104:H4 Str. 11-4632 C4,O104:H4 Str. 11-4632 C4,undefined,2a,undefined,11-4632 C4,O104:H4,undefined,undefined,undefined,undefined
public_2869496,genbank: JNSA00000000.1,3-105-05_S1_C2,3-105-05_S1_C2,undefined,undefined,Homo sapiens (human),3-105-05_S1_C2,undefined,2009-01-17,Stool,undefined,Tanzania
public_2683856,genbank: ANVU00000000.1,KTE50,KTE50,undefined,undefined,Homo sapiens (human),KTE50,undefined,2010-01-01,undefined,undefined,Denmark
public_2737134,genbank: AQEC00000000.1,2729250,2729250,undefined,undefined,Homo sapiens (human),2729250,undefined,2007-01-01,Stool,undefined,Bangladesh
public_2813424,genbank: JHJX00000000.1,O86:H34 Str. 99-3124,O86:H34 Str. 99-3124,undefined,undefined,undefined,99-3124,O86:H34,undefined,undefined,undefined,United States
public_2620419,genbank: AKKW00000000.1,FDA505,FDA505,1a,2a,Homo sapiens (human),FDA505,O157:H7,1982-01-01,undefined,undefined,United States
public_2638143,genbank: AKMH00000000.1,EC4013,EC4013,undefined,undefined,Homo sapiens (human),EC4013,O157:H7,2006-01-01,undefined,undefined,United States
public_2862163,genbank: JNQK00000000.1,2-222-05_S1_C1,2-222-05_S1_C1,undefined,undefined,Homo sapiens (human),2-222-05_S1_C1,undefined,2009-01-23,Stool,undefined,Tanzania
public_2822707,genbank: JHLU00000000.1,O111:H8 Str. 2011C-3453,O111:H8 Str. 2011C-3453,1a,2a,undefined,2011C-3453,O111:H8,undefined,undefined,undefined,United States
public_2682456,genbank: ANUH00000000.1,KTE57,KTE57,undefined,undefined,Homo sapiens (human),KTE57,undefined,2010-01-01,undefined,undefined,Denmark
public_2631397,genbank: AKLQ00000000.1,PA40,PA40,undefined,2c,Homo sapiens (human),PA40,O157:H7,2008-01-01,undefined,undefined,United States
public_2568119,genbank: ADWS00000000.1,MS 145-7,MS 145-7,undefined,undefined,Homo sapiens (human),MS 145-7,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2760277,genbank: AXTQ00000000.1,908541,908541,undefined,undefined,Homo sapiens (human),908541,undefined,undefined,undefined,undefined,undefined
public_2574175,genbank: AFUX00000000.1,O104:H4 Str. 11-4404,O104:H4 Str. 11-4404,undefined,2a,undefined,11-4404,O104:H4,undefined,undefined,undefined,undefined
public_2899301,genbank: JRGD00000000.1,77302533,77302533,undefined,undefined,Sus scrofa (pig),77302533,undefined,2003-01-01,undefined,undefined,Denmark
public_2604670,genbank: AIFE00000000.1,DEC3A,DEC3A,unassigned,2a,Homo sapiens (human),DEC3A,O157:H7,1985-01-01,undefined,undefined,"Washington, DC, USA"
public_2727197,genbank: AQBS00000000.1,P0305260.9,P0305260.9,undefined,undefined,Homo sapiens (human),P0305260.9,undefined,undefined,Stool,undefined,Bangladesh
public_2745121,genbank: ATKA00000000.1,SCD2,SCD2,undefined,undefined,Homo sapiens (human),SCD2,undefined,2013-02-09,Stool,Asymptomatic,"Chandigarh, Chandigarh, India"
public_2786402,genbank: CP002797.2,NA114,NA114,undefined,undefined,undefined,NA114,undefined,undefined,undefined,undefined,India
public_2839903,genbank: JJLY00000000.1,1-176-05_S1_C3,1-176-05_S1_C3,undefined,undefined,Homo sapiens (human),1-176-05_S1_C3,undefined,2009-01-13,Stool,undefined,Tanzania
public_2786404,genbank: AP010958.1,O103:H2 Str. 12009,O103:H2 Str. 12009,1a,2a,undefined,12009,O103:H2,undefined,undefined,undefined,undefined
public_2786407,genbank: CP003297.1,O104:H4 Str. 2009EL-2050,O104:H4 Str. 2009EL-2050,undefined,2a,Homo sapiens (human),2009EL-2050,O104:H4,2009-01-01,undefined,undefined,"Georgia, USA"
public_2635523,genbank: AKMC00000000.1,EC4196,EC4196,undefined,undefined,Bos taurus (cow),EC4196,O157:H7,2006-01-01,undefined,undefined,United States
public_2722567,genbank: AQAQ00000000.1,P0304777.7,P0304777.7,undefined,undefined,Homo sapiens (human),P0304777.7,undefined,undefined,Stool,undefined,Bangladesh
public_2847690,genbank: JMVP00000000.1,MGH 57,MGH 57,undefined,undefined,Homo sapiens (human),MGH 57,undefined,2013-01-01,Wound abscess,undefined,"Boston, MA, USA"
public_2595530,genbank: AIBG00000000.1,C586_05,C586_05,undefined,undefined,Homo sapiens (human),C586_05,undefined,undefined,Africa,undefined,undefined
public_2723747,genbank: AQAW00000000.1,P0304816.13,P0304816.13,undefined,undefined,Homo sapiens (human),P0304816.13,undefined,undefined,undefined,undefined,Bangladesh
public_2703092,genbank: APXB00000000.1,179550,179550,undefined,undefined,Homo sapiens (human),179550,undefined,undefined,Stool,undefined,Bangladesh
public_2752041,genbank: AVRU00000000.1,B105,B105,1a,2a,Homo sapiens (human),B105,O157:H7,1998-01-01,undefined,undefined,"Washington, DC, USA"
public_2870202,genbank: JOMU00000000.1,8-415-05_S4_C2,8-415-05_S4_C2,undefined,undefined,Homo sapiens (human),8-415-05_S4_C2,undefined,2009-07-20,Stool,undefined,Tanzania
public_2724248,genbank: AQAZ00000000.1,P0304816.2,P0304816.2,undefined,undefined,Homo sapiens (human),P0304816.2,undefined,undefined,Stool,undefined,Bangladesh
public_2723218,genbank: AQAT00000000.1,P0304816.10,P0304816.10,undefined,undefined,Homo sapiens (human),P0304816.10,undefined,undefined,Stool,undefined,Bangladesh
public_2786535,genbank: JASR00000000.1,O146:H21 Str. 2010C-3325,O146:H21 Str. 2010C-3325,1c,undefined,Homo sapiens (human),2010C-3325,O146:H21,undefined,undefined,undefined,United States
public_2786531,genbank: JASQ00000000.1,O91:H21 Str. 2009C-3740,O91:H21 Str. 2009C-3740,undefined,multiple,Homo sapiens (human),2009C-3740,O91:H21,undefined,undefined,undefined,United States
public_2656024,genbank: AMUJ00000000.1,5412,5412,undefined,2a,Homo sapiens (human),5412,SFO157,1988-01-01,undefined,undefined,Germany
public_2761651,genbank: AXTV00000000.1,908624,908624,undefined,undefined,Homo sapiens (human),908624,undefined,undefined,undefined,undefined,undefined
public_2775703,genbank: CBWN000000000.1,ISC7,ISC7,undefined,undefined,undefined,ISC7,undefined,undefined,Blood,undefined,"Vienna, Austria"
public_2707938,genbank: APXV00000000.1,P0298942.2,P0298942.2,undefined,undefined,Homo sapiens (human),P0298942.2,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2838563,genbank: JJLS00000000.1,1-182-04_S3_C3,1-182-04_S3_C3,undefined,undefined,Homo sapiens (human),1-182-04_S3_C3,undefined,2009-04-11,Stool,undefined,Tanzania
public_2797778,genbank: JHGF00000000.1,O157:H7 Str. 2009EL1449,O157:H7 Str. 2009EL1449,1a,2a,undefined,2009EL1449,O157:H7,undefined,undefined,undefined,United States
public_2619621,genbank: AKBB00000000.1,O26:H11 Str. CVM10224,O26:H11 Str. CVM10224,1a,undefined,Homo sapiens (human),CVM10224,O26:H11,1997-01-01,undefined,undefined,undefined
public_2800958,genbank: JHGV00000000.1,O26:H11 Str. 2009C-3996,O26:H11 Str. 2009C-3996,1a,undefined,undefined,2009C-3996,O26:H11,undefined,undefined,undefined,United States
public_2787752,genbank: JDWS00000000.1,7996-1,7996-1,undefined,undefined,Homo sapiens (human),7996-1,undefined,2004-01-01,peri-anal swab culture,undefined,"Maryland, USA"
public_2801774,genbank: JHGZ00000000.1,O26:H11 Str. 2009C-3612,O26:H11 Str. 2009C-3612,undefined,2a,undefined,2009C-3612,O26:H11,undefined,undefined,undefined,United States
public_2713405,genbank: APYY00000000.1,P0301867.8,P0301867.8,undefined,undefined,Homo sapiens (human),P0301867.8,undefined,2011-03-01,Stool,undefined,Bangladesh
public_2588832,genbank: AIAM00000000.1,C2139_99,C2139_99,undefined,undefined,Homo sapiens (human),C2139_99,undefined,undefined,Stool,undefined,Denmark
public_2699258,genbank: AOUP00000000.1,O91,O91,1a,undefined,Homo sapiens (human),O91,undefined,undefined,symptomatic patient,undefined,South Korea
public_2744990,genbank: ATJZ00000000.1,SCD1,SCD1,undefined,undefined,Homo sapiens (human),SCD1,undefined,2013-01-18,Stool,Asymptomatic,"Chandigarh, Chandigarh, India"
public_2569196,genbank: AETZ00000000.1,O157:H- Str. H 2687,O157:H- Str. H 2687,undefined,undefined,undefined,H 2687,O157:NM,2003-01-01,undefined,undefined,undefined
public_2855925,genbank: JNOJ00000000.1,CS06,CS06,undefined,undefined,Homo sapiens (human),CS06,undefined,2013-06-24,Human rectal sample,undefined,"Santa Clara, CA, USA"
public_2786628,genbank: JDFV00000000.1,E1728,E1728,undefined,undefined,Environmental source,E1728,undefined,2009-01-01,marine sediment,undefined,Hong Kong
public_2785536,genbank: CCVP00000000.1,NA Str. E. coli (2785536),NA Str. E. coli (2785536),multiple,undefined,Homo sapiens (human),E. coli,NA,2009-01-28,Stool,undefined,Norway
public_2706532,genbank: APXO00000000.1,BCE032_MS-12,BCE032_MS-12,undefined,undefined,Homo sapiens (human),BCE032_MS-12,undefined,2003-01-01,Stool,undefined,Bangladesh
public_2555252,genbank: ADTO00000000.1,MS 45-1,MS 45-1,undefined,undefined,Homo sapiens (human),MS 45-1,undefined,undefined,Intestine,Crohn's Disease,undefined
public_2846741,genbank: JMIZ00000000.1,UCD_JA03_pb,UCD_JA03_pb,undefined,undefined,Homo sapiens (human),UCD_JA03_pb,undefined,2013-01-01,Blood,undefined,"Davis, CA, USA"
public_2653326,genbank: AMUD00000000.1,PA45,PA45,1a,2a,Homo sapiens (human),PA45,O157:H7,2008-01-01,undefined,undefined,United States
public_2868185,genbank: JNRT00000000.1,3-020-07_S4_C3,3-020-07_S4_C3,undefined,undefined,Homo sapiens (human),3-020-07_S4_C3,undefined,2009-07-08,Stool,undefined,Tanzania
